id;razon_social;direccion;ruc;acreditado_por;numero_acreditacion;ruta_doc_acreditacion;nombre_doc_acreditacion;documento_acreditacion;documento_acreditacion_content_type;vigencia_desde;vigencia_hasta;telefono;correo;nombre_contacto;fecha_creacion
1;Villages uniform PCI;Automotive Tactics architectures;Wisconsin Facilitator Incredible;reinvent;eco-centric Bedfordshire mesh;Configuration UIC-Franc;Ergonomic Concrete Soap Zambian Kwacha;../data/blob/hipster.png;image/png;2019-07-12;2019-07-13;Bedfordshire;portal calculating Metal;real-time discrete redundant;2019-07-12
2;HDD;Sleek Beauty Auto Loan Account;deposit;extend Unbranded Fresh Pants Tools;Practical North Dakota;implementation;Wallis and Futuna;../data/blob/hipster.png;image/png;2019-07-13;2019-07-12;TCP Assimilated;compressing;Brunei Darussalam interface;2019-07-12
3;composite Orchestrator Club;Intelligent Granite Shirt Peru deposit;Frozen Analyst card;redundant;content;Gorgeous Electronics Brand;infomediaries Som Rustic Frozen Keyboard;../data/blob/hipster.png;image/png;2019-07-12;2019-07-13;Benin;Tuna Response invoice;alarm Jamaica;2019-07-12
4;paradigms Organic strategic;Steel leading-edge Small;Incredible Fresh Chips;Shoes Music connect;Hollow Shoes systems;Generic Frozen Tuna HTTP;implement;../data/blob/hipster.png;image/png;2019-07-12;2019-07-12;Cambridgeshire Norfolk Island;Soap Tasty Metal Sausages Outdoors;invoice multi-byte;2019-07-12
5;North Carolina Granite;Somalia Web revolutionize;invoice teal analyzing;Fantastic;Ergonomic Rubber Chicken;Handcrafted Plastic Shirt quantifying;wireless;../data/blob/hipster.png;image/png;2019-07-13;2019-07-13;Metal Rupiah;Accountability Handmade Cotton Bacon;intermediate Table quantify;2019-07-12
6;Producer infrastructures;Robust Louisiana;Infrastructure SSL bandwidth;application Configurable iterate;Berkshire navigating;superstructure;streamline;../data/blob/hipster.png;image/png;2019-07-13;2019-07-12;bypassing granular Usability;Applications Missouri deposit;Gorgeous Money Market Account;2019-07-12
7;ivory Data neural;Unbranded;Associate Designer;mindshare;Guam bandwidth Liaison;program Auto Loan Account Refined;infomediaries;../data/blob/hipster.png;image/png;2019-07-13;2019-07-13;programming panel;Avon;Planner;2019-07-12
8;transition open-source Interactions;Pennsylvania dynamic bandwidth;navigate Oklahoma;Triple-buffered array;Bedfordshire Tools;Arizona hack;Fresh payment synthesize;../data/blob/hipster.png;image/png;2019-07-12;2019-07-13;seize Glen Refined;Mandatory Assistant;Strategist;2019-07-12
9;success;Tuvalu;Senior Optional Yemeni Rial;Central African Republic;magenta heuristic;Credit Card Account Maryland Legacy;Product;../data/blob/hipster.png;image/png;2019-07-12;2019-07-12;Regional;Generic B2B;olive;2019-07-12
10;one-to-one Indiana;holistic;Architect;Beauty dynamic schemas;Pound Sterling Keyboard;Licensed Usability models;Personal Loan Account markets;../data/blob/hipster.png;image/png;2019-07-12;2019-07-12;Aruba Chair portals;online Strategist Shirt;navigate redefine;2019-07-12
